0_000_00_Ref Nr,APIS,BUDA RefNR to add to http://purl.bdrc.io/resource/,KDSB Set,KDSB vol,KDSB txt Nr,PP in KDSB,No of folios,Category=Subject (vocabulary) -> for APIS,Category (for team's orientation),Signature: letter indicating category,Signature: number indicating bundle,Drepung catalogue no,provenance and/or catalogue number (if not Drepung),Author's name (generic/as attested in manuscript),Author BDRC/BUDA ID,Author's dates,Title dkar chag KDSB/editorial/attested,Sanskrit title,Commentary on (sDe dge ref),Script,"mss proofread by scribe or later reader, indication on the mss A(bsent), P(resent), TBD (by defautl, to be determined; if blank=TBD)",Transkribus,Etext main txt,Marginal notes,Etext loc/origin,TEI doc w. tagged excerpts,Priority,Status of importance,Remark,Topics of interest (in addition to txt subject),Amount of references to views of Tibetan scholars/Number of names,SB - Author KDSB dkar chag check,SB Author (systematic network research done),Contents marked up (mss or etxt),TEI markup,Colophon marked up in etxt and harvest,Amount of data in colophon,place of composition,place of scribing/copy,Place names in colophons,Date in colophons,Scribe,Owner,dpe cha,Etext input by,"Additional e-text metadata/
comments",Drawings
1_001_11,,MW1PD89051_49D513,1,1,11,290-367,40,Buddha Nature,Maitreya 5,,,,sPo mi spyan drug; bKra shis dbang rgyal,rNgog Blo ldan shes rab,P2551,1059-1109,rGyud bla ma’i ‚grel ba,,D4024,,A,,Complete,no (only some corrections),"TibSchol complete, Gateway, Typeset, Kano forth crit ed and transl of 1st chap",,Core,Important,"linear bsdus don (concise guide), no debate with other views, ref. to Indian works (incl RGV) not all marked up.
Folio numbers need inputting into etext. gSung rten remarks: Manuscript was found in sPo-mi-spyan-drug and supplied by bKra-shis-dbang-rgyal. Drepung No. 15801 phyi tsha 41 has a rgyud bla ma'i don bsdus bya lo tsA ba blo ldan shes rab in 15 folios ('bru tsha",kun rdzob sgyu ma,0,,,etxt markup completed (PH) ,,,"author, title",,,,,,,own scan available,"Based on BUDA (W1PD104832-I1KG5851); emendations by KK, PH","See Kano 2006 for the edition of the first chapter based on the blockprint, and Kano forthcoming for the critical edition of the first chapter based on both the manuscript and the blockprint",
1_001_12,,MW1PD89051_925F97,1,1,12,369-409,21,Epistemology,Epistemology,zha,21,16371  ,rGyal rtse dpal 'khor chos sde,rNgog Blo ldan shes rab,P2551,1059-1109,Tshad ma rnam nges kyi bsdus don. Colophon: bam po lnga pa'i bshad pa,,D4231,,A,T,Complete,1 only,"TibSchol complete, Gateway, Typeset, Crit ed (forth)",,Core,Very important,"Concise guide on the NBT. intro in Hugon 2014; crit ed. forth. gSung rten remarks: Manuscript is listed in the gNas-bcu-lha-khang, but apparently now stored in rGyal-rtse-dpal-'khor-chos-sde.","long section on dgos 'brel (P4), debate with Dharmottara reg. Tshad min lnga","2-3/0 (anonymous, could be Indian or Tibetan)",,,etxt markup completed - in other format than template (PH) ,done,,"title, author",,,,,,,own scan available,PH,"See Hugon (forthcoming critical edition) for the references to the NBṬ and NB, identification of citations, the different readings in rNgog chos skor, and the detail of mss reading and emendations (only partially included here)",
1_001_13,,MW1PD89051_306BCA,1,1,13,420-705,144,Epistemology,Epistemology,zha,43,,,rNgog Blo ldan shes rab,P2551,1059-1109,Tshad ma rnam nges kyi ‘grel ba,,D4211,,A,,"Complete. Proofread up to 4b4, and 132ab",yes,TibSchol complete; Typeset; BUDA ocr; sakya input;own,,Core,Very important,other mss with other notes also available (Steinkellner's copy). Donor: shākya'i dge slong 'dar rin chen 'bar gyis sbyin par bya ba'i chos ,,10/0 anonymous (could be Indian or Tibetan),,,most ames and citations marked up (with different style than template),,,"author, title, donor",,,,,,,own scan available,"HK, KK, and PH","When variants are indicated, KDSB refers to 1_001_13, and X to the CPN manuscript used for the Xinning edition (Steinkellner’s mss). 
p.001 refer to the pagination of the Xinning edition. In the footnotes, Xinning refers to the reading adopted in that edition.
For a full etext based on Xinning, see: http://www.sakyalibrary.com/library/Book/30d8a0ca-29e0-4a72-addb-b26a03ede702",
1_001_14,,MW1PD89051_A27271,1,1,14,707-710,2,,ritual/letter,la,281,18550,,rNgog Blo ldan shes rab,P2551,1059-1109,sPrings yig bsdud rtsi’i thig pa,,,,A,,Complete. Proofread,no,"TibSchol complete, Gateway, Typeset, crit ed Kano",,Peri,Secondary,"versified letter - id of addressee of interest, but no scholastic features",mention of dbu ma/tshad ma,0,,,etxt markup completed (PH),done,,"author, title",,,,,,,own scan available,PH and KK; based on Kano 2007,"See Kano 2007 for the critical edition and comparison with the verses cited by Śākya mchog ldan in his sPring yig bdud rtsi’i thigs pa’i rgya cher bshad pa dpag bsam yongs ‘du’i ljon phreng
See Kano 2020 for a corrected critical edition using the reading of a 2-folio xylograph",
1_002_01,,MW1PD89051_089074,1,2,1,13-55,22,Perfection of wisdom,Prajñāpāramitā,la,593,19955,,‘Bre Shes rab ‘bar,P2551/P2274,1059-1109 / (BD: Not before 1000 - Not After 1099),Yum brgyad stong pa’i don bsdus,,D12,"bru,75/l",A,2,"Optional
Fragmentary; first and last folio proofread","yes, some long glosses in addition to lemma from D12 and a few corrections","TibSchol incomplete, Gateway",,Peri,,"topical outline of Ārya-Aṣṭasāhasrikā-prajñāpāramitā (D12) without additional discussions. Alhtough etxt incomplete, presumably no additional markup needed, however long glosses need to be checked systemtically. written down in: yul chos skor bsaM yas kyi lung phran mchims phu'I gtsug lag khang. Originaly composed by rNgog lo tsa ba; follow-up by Shes rab 'bar, upon having questionned him to get the meaning right --> see how to indicate relation of rNgog lo to work",,0,,,etxt markup completed - glosses to be rechecked (PH),,Has insteresting colophon+two scribes'colophons. See Gateway for translation of these excerpts.,"author, title Addition: place of copy, name of scribe and his teacher.",,yul chos skor bsaM yas kyi lung phran mchims phu'I gtsug lag khang (1st copy),yul chos skor bsaM yas kyi lung phran mchims phu'I gtsug lag khang,,(1st scribe) <lho brag rong pa> bla ma 'od; (2nd scribe) mdo smad pa mar pa ston pa,,own scan available,PH,,
1_002_02,,MW1PD89051_FC805A,1,2,2,65-76,6,Perfection of wisdom,Prajñāpāramitā,la (/ma),588(/586),10294?,,Ar Byang chub ye shes,P2552,11-12th (BD: Not before 1000 - Not After 1099 Assumes Office in 1144),Shes rab kyi pha rol tu phyin pa'i mdo' rgya cher 'grel,,D21,,A,T,Complete (interlinear notes incomplete); only f. 1 and 6 proofread,yes (but quasi illegible),"TibSchol complete, Gateway, Typeset",,Core,Secondary,"a general commentary on Prajñāpāramitā, not very exciting. References to dags po, khyung po, 'brom. Notes referring to 'grel pa 'khan po, and 2-3 unidentified kha cig
Lemmas from Prajñāpāramitāhṛdaya (D21)",,5,,,on LY's list,,,"author, title",,,,,,,own scan available,PH; based on Ar chos skor; additions from BUDA (W2DB4582),,
1_002_03,,MW1PD89051_BAA954,1,2,3,91-447,176,Perfection of wisdom,Maitreya 1,tsha,61,15856,,Ar Byang chub ye shes,P2552,11-12th (BD: Not before 1000 - Not After 1099 Assumes Office in 1144),mNgon rtogs rgyan gyi ‘grel ba rnam par ‘byed pa,,D3793,,A,,Complete (check if all OCR parts have been included) - only a few notes reported; only first and last folios proofread,yes,"TibSchol complete (check if complete), Typeset Ar chos gsung W2DB4582, BUDA OCR ",,Core,,"LY to-do list. Lemmas from AA (D3786), AAV (D3793), AAĀ (D3791). But word explanation of dgos 'brel refers to words of Haribhadra's vritti D3793, as does the last section before the conclusive verses. However, the ""mtshan"" identifies the base text as AA (not AAvritti), but the colophon names the text a ""rnam par 'byed pa on AAV"". The Aloka is referred to as the ""'grel chen""",,,,,,,,"author, title",,,,,,,own scan available,PH; based on Ar chos skor 290–779; completed with BUDA (W2DB4582),,
1_003_01,,MW1PD89051_2688B9,1,3,1,11-136,63,Perfection of wisdom,Prajñāpāramitā,tsha,93,15928,,Ar byang chub ye shes,P2552,11-12th (BD: Not before 1000 - Not After 1099 Assumes Office in 1144),sDud pa tshigs su bcad pa’i ‘grel ba,,D13,,A,,Complete (without notes); only first and last folios proofread,yes (many),"TibSchol complete, Gateway, Typeset",,Core,Important,Same txt in 1_003_02 with different set of notes.  Contents otherwise not so pertinent. Several kha cig. rNgog lo once. Lemmas from SG (Sañcayagāthā) D13. not in gTsang and dBus (???). Annotations: sNar thang,,4/0,,,,,,"author, title. Annotation (writing exercice): place",,,sNar thang,,,,own scan available,PH; based on Ar chos skor 59–269,,
1_003_02,,MW1PD89051_B56C5A,1,3,2,137-276,71,Perfection of wisdom,Prajñāpāramitā,la,209,18425,,Ar byang chub ye shes,P2552,11-12th (BD: Not before 1000 - Not After 1099 Assumes Office in 1144),sDud pa tshigs su bcad pa’i ‘grel ba. Colophon: shes rab gyi pha rol du phyin pa sdud pa tshigs su bcad pa'i rnam par bshad pa,,D13,,A,,Complete. Only first and last folios proofread,,"TibSchol incomplete (see 1_003_01 for complete), Gateway, Typeset",,Double txt (other notes),Other instance (with different set of notes),"Same txt as  1_003_01 with different set of notes, see TibSchol incomplete etxt for first/last folios; for rest of main txt see 1_003_01. Images of same mss also inMW3CN3014_693257.
Lemmas from SG (Sañcayagāthā) D13. not in gTsang and dBus.",,,,,,,,"author, title",,,,,,,other set of images of same mss in MW3CN3014_693257,PH; based on Ar chos skor 59–270,,
1_003_03,,MW1PD89051_A78062,1,3,3,285-333,25,Biography,rnam thar,ra,185,17649,,Gro lung pa Blo gros ‘byung gnas,P3465,ca. 1040-1120,Blo ldan shes rab kyi rnam thar,,,,A,,"Complete*
Only f. 1 and 25 proofread",,"TibSchol incomplete (to be completed with ocr), Typeset, crit ed, BUDA ocr",,Core,Discard - not schol,"No scholastic content. Use images in images_W1KG10687-I1KG10694. Crit ed Dram Dul WSTB. bla ma rje btsun dam pa gsang phu lo tsha ba chen po dPal rTe’u ra gtsug lag khang (dpal rte’u ra’i gtsug lag khang na gnas pa’i dge ba’i bshes gnyen rnams kyis bsgrubs pa ‘di bdag gi sug tu thengs nas). Original copy was owned by 'Phags pa 1235 – 1280, and copied down in 1270 from a copy obtained from Tibet. This instance is a copy of 'Phags pa's, which preserved 'Phags pa's colophon. In addition: verses describing teaching at gSang phu in the 4 directions.",,,,,,,,"author, teacher, title. Scribeal: place (where exemplar was originally obtained for previous copy), date (or previous copy), owner (of previous copy)",,,dPal rTe’u ra gtsug lag khang,lcags pho rta'i lo zla ba gcig pa = 1270 (1st copy),,dGe slong 'phags pa (='Phags pa Blo gros rgyal mtshan) owner of the mss copied in 1_003_03); gnyal kyi bri las/gnyal kyi bri lhas (or ldas) (owner of 1_003_03),N,"PH; based on clearer copy in Bod kyi lo rgyus rnam thar phyogs bsgrigs, Kramer 1997, Dram Dul 2004, Jackson 1994",,
1_003_04,,MW1PD89051_3FB491,1,3,4,339-574,118,Perfection of wisdom,Prajñāpāramitā,tsha,41,15799,,Gro lung pa Blo gros ‘byung gnas,P3465,ca. 1040-1120,mDo sdud pa’i ‚grel ba,,D13,dbu can typeset,A,,Complete,no,"TibSchol complete, Typeset, BUDA Ocr",,Core,Important,Ārya-Prajñāpāramitā-Sañcayagāthā (Tib. ’phags pa shes rab kyi pha rol to phyin pa sdud pa tshigs subcad pa) (D13),,,,,,,,"title, author",,,,,,,own scan available,PH; based on Gro lung chos skor 670–795 and BUDA (W1PD104698),,
1_003_05,,MW1PD89051_920FEA,1,3,5,579-746,86,Perfection of wisdom,Maitreya 1,NANG,166,sGo mang 616,,Gro lung pa Blo gros ‘byung gnas,P3465,ca. 1040-1120,brGyad stong ‘grel chen gyi bshad pa,,D3791,dbu can blockprint,A,,Complete,no,"TibSchol complete, Typeset, BUDA ocr",,Core,,"Lemmas from Haribhadra’s D3791 : āryāṣṭasāhasrikāprajñāpāramitāvyākhyānābhisamayālaṃkārāloka-nāma // 'phags pa shes rab kyi pha rol tu phyin pa brgyad stong pa'i bshad pa, mngon par rtogs pa'i rgyan gyi snang ba zhes bya ba. rngor bsam (sponsors: dad ldan rngor bsam bza’ mi rnams dang ni // dpal ldan bkra shis mgon gyis sbyin bdag byas //). gSung rten remark:  Manuscript was found in the sGo-mang-grwa-tshang-gi-dpe-mdzod-khang. There is no signature visible on the first folio on KDSB image.",,,,,,,,"title, author",,,,,,,own scan available,PH; with ref. to Gro lung chos skor + BUDA of chos skor (W1PD104698),,
1_004_01,,MW1PD89051_065E98,1,4,1,3-6,2,Stages of the path,lam rim/bstan rim,la,360,18815,,Gro lung pa Blo gros ‘byung gnas,P3465,ca. 1040-1120,Rin po che'i phreng ba lnga bcu pa,,,dpe tshugs,A,,Complete. Proofread,no,TibSchol complete; Gateway,,Core,Secondary,"Short versified work, no external ref. Nothing of interest to markup apart from title/author and some ""bdag""",,0,,,etxt markup completed (PH),,,"author, title",,,,,,,,KK; proofread by PH,,
1_004_02,,MW1PD89051_2BD83E,1,4,2,35-735,351,Stages of the path,lam rim/bstan rim,,,,Sera Ka6,Gro lung pa Blo gros ‘byung gnas,P3465,ca. 1040-1120,bsTan rim chen mo’i stod cha. Colophon: bde bar gshegs pa'i bstan pa rin po che la 'jug pa'i rin chen phreng ba zhes bya ba'i rnam par bshad pa,,,dbu can handwritten,P,,Complete. Folios 1-3b proofread and compared with Patna blockprint,no,ACIP,,Core,Secondary,"do not attempt to mark up all citations! Use ""search"" to locate passages of interest. To my knolwedge no other scholars identified by name.
 [#the following text has incomplete sections, which are on order]
1.	(1) How to study under a religious teacher (8a-37a)
2.	(2) How to cultivate an awareness of the value of a human life that is free from the conditions that obstruct the practice of religion (37a-47a)
3.	(3) How to cultivate an awareness of death and impermanence (47a-55a)
4.	(4) How to cultivate an understanding of the working of moral causation (55a-152a)
5.	(5) How to cultivate an awareness of the faults of cyclic existence (152a-183a)
6.	(6) How to cultivate the ""thought of awakening"" (183a-213a)
7.	(7) How to engage in the conduct of the bodhisattva (213a-345a)
8.	(8) How to cultivate meditatively a realization of ultimate reality (345a-447a)
9.	(9) How to cultivate the ""levels"" (bhūmi, sa) of the bodhisattva (447a-507a)
(10) How one attains the fruit, the level of buddhahood (507a-546a)",,,,,,,,"author, title",,,,,Drung yig Dam chos yar 'phel,,,PH,"For a complete etext based on Patna, see ACIP, https://asianclassics.org/library/downloads/ > The Sungbum > 27 Lam rim_Steps of the Path > bstan rim chen mo 
Folios marked [P...] indicate the corresponding location in Patna blockprint.
Variant readings in Patna blockprint are indicated only for the first three folios",
1_005_01,,MW1PD89051_1E109F,1,5,1,3-242,120,Stages of the path,lam rim/bstan rim,,,,Sera Ka6,Gro lung pa Blo gros ‘byung gnas,P3465,ca. 1040-1120,bsTan rim chen mo’i smad cha,,,dbu can handwritten,TBD,,Complete,no,ACIP,,Core,Secondary,"do not attempt to mark up all citations! Use ""search"" to locate passages of interest.To my knolwedge no other scholars identified by name.
 [#the following text has incomplete sections, which are on order]
1.	(1) How to study under a religious teacher (8a-37a)
2.	(2) How to cultivate an awareness of the value of a human life that is free from the conditions that obstruct the practice of religion (37a-47a)
3.	(3) How to cultivate an awareness of death and impermanence (47a-55a)
4.	(4) How to cultivate an understanding of the working of moral causation (55a-152a)
5.	(5) How to cultivate an awareness of the faults of cyclic existence (152a-183a)
6.	(6) How to cultivate the ""thought of awakening"" (183a-213a)
7.	(7) How to engage in the conduct of the bodhisattva (213a-345a)
8.	(8) How to cultivate meditatively a realization of ultimate reality (345a-447a)
9.	(9) How to cultivate the ""levels"" (bhūmi, sa) of the bodhisattva (447a-507a)
(10) How one attains the fruit, the level of buddhahood (507a-546a)",,,,,,,,"title, author",,,,,Drung yig Dam chos yar 'phel (18th c.),,,PH,"For a complete etext based on Patna, see ACIP, https://asianclassics.org/library/downloads/ > The Sungbum > 27 Lam rim_Steps of the Path > bstan rim chen mo 
Folios marked [P...] indicate the corresponding location in Patna blockprint.
Variant readings in Patna blockprint are indicated only for the first three folios",
1_005_02,,MW1PD89051_FD3341,1,5,2,243-321,40,Stages of the path,lam rim/bstan rim,,,,Sera Ka6,Gro lung pa Blo gros ‘byung gnas,P3465,ca. 1040-1120,dGe bshes gro lung pas mdzad pa’i bstan rim chen mo’i don bsdu’am lam rim,,,dbu can handwritten,A,,"Complete (with glosses). F. 1-3a5 and 40a proofread, with glosses",yes,"TibSchol complete, Typeset Gro chos skor II, 1-68, BUDA ocr",,Core,Very important?,"BUDA OCR doesn't differentiate between glosses and main text, make sure glosses are clearly marked for excerpts
info in Gateway. No debate with other scholars, but lots of mentions, of Atisha, sGam po pa, Saraha, one of Candrakirti. Authorship debatable in view of stylistic differnece with other works of Gro.
Versified summary in 10 root verses (two of 4 lines, one of 2 lines), followed by a prose explanation in ten chapters, commenting on the versified summary. Each chapter ends with a four-line summarizing verse. Abundant citations from sūtras. Nominal references to other scholars, such as Atiśa (“jo bo”) and sGam po pa. The titles of the ten chapters are different from Gro lung pa’s bsTan rim chen mo, but some of them indicate a similar content. The cover page identification as a summary of the latter should be examined more closely. The style of the conclusive verses and conclusion differs from other texts by Gro lung pa, shedding doubt on the authorship of the work",,5,,,"etext automatized markup and localisation of most entities (PH), without excerpts corr to mss",done,,"title, author, place of composition",gsang phu,,gSang phu,,,,,PH; based on BUDA of Chos skor (W1PD104698),"
Complete typeset edition in Gro chos skor II. Gro chos skor II, 1–68
",
1_005_03,,MW1PD89051_544179,1,5,3,331-602,134,Perfection of wisdom,Prajñāpāramitā,la,142,18248,,Gro lung pa Blo gros ‘byung gnas,P3465,ca. 1040-1120,Yum bar ma nyi khri’i rnam bshad,,D9+D3787,,,,Complete (with glosses),yes,"TibSchol complete, Typeset Gro chos skor I, 1–476, BUDA ocr",,Core,Very important?,5,,40/1,,,"etext automatized markup and localisation of most entities, without excerpts corr to mss",in progress,,"title, author",,,,,,,"Yes. Interlinear notes not legible enough on KDSB images, but all input in Typeset","PH; based on Buda of Gro lung chos skor I, 1-476",,
1_006_01,,MW1PD89051_4A70C5,1,6,1,11-174,83,Madhyamaka,BCA,tsa,65,15545,,rGya dmar ba Byang chub grags,P4749,12th c.,Byang chub sems dpa'i spyod pa la 'jug pa'i tshig don gsal bar bshad pa,,D3871,bru tsa,,,Incomplete,,TibSchol incomplete,,Core,Very important,cover page title: byang chub sems dpa'i spyod pa la 'jug pa'i t.i ka.Colophon title: byang chub sems pa'i (sic) spyod pa la 'jug pa'i tshig dang don gsal bar bshad pa ,,,,,,,,"title, author",,,,,,,Yes (own scan needed - check if paper photocopy version on shelves),PH,,
1_006_02,,MW1PD89051_527657,1,6,2,185-250,33,Madhyamaka,Madhyamaka,tsa,120,15724,,Phywa pa Chos kyi seng ge,P1404,1109-1169,dBu ma bden gnyis kyi ‘grel ba,,D3882,,,T,Complete (partially proofread),no,"TibSchol complete, Gateway, Typeset",,Core,Very important,"Sa bcad titles in curly brackets are those found in the bden gnyis bsdus don (cf. 1_006_03) for the corresponding subdivision when they differ from those in the bden gnyis rnam bshad . Another (non available) manuscript of the work is listed in Drepung catalogue: ’Bras spungs dkar chag, vol. 2, p. 1375, no. 015538 (dbu ma bden gnyis kyi rnam par bshad pa yi
ge nyung ngus gsal bar byed pa bzhugs / rigs pa smra ba’i dge slong chos kyi seng+ges, ’bru tsha,
28f, 67x9.5 cm, phyi tsa 65). SAme mss images in MW1PD89051_1251AF",,,,,,,,"title, author",,,,,,,Own scans available. Same mss images in MW1PD89051_1251AF. ,PH,,
